.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
4,GLMNET,prediction,03/11/2019,5.71451057,4.997623105,6.431398035,302.2357543,147.0608154,620.0415793
4,GLMNET,prediction,10/11/2019,5.608165421,4.891277956,6.325052887,271.6435928,132.1235915,557.3873442
4,GLMNET,prediction,17/11/2019,5.584728488,4.867841022,6.301615953,265.3279616,129.0398605,544.4526242
4,GLMNET,prediction,24/11/2019,5.637231477,4.920344012,6.354118942,279.6845602,136.0497518,573.8556365
4,GLMNET,prediction,01/12/2019,5.714085134,4.997197668,6.430972599,302.1067742,146.9978384,619.7774219
4,GLMNET,prediction,08/12/2019,5.863310309,5.146422843,6.580197774,350.887073,170.8157778,719.6818473
4,GLMNET,prediction,15/12/2019,6.031526513,5.314639048,6.748413978,415.3501084,202.2911215,851.7052804
4,GLMNET,prediction,22/12/2019,6.203062709,5.486175244,6.919950174,493.2605015,240.3324018,1011.269556
4,GLMNET,prediction,29/12/2019,6.243086071,5.526198605,6.959973536,513.4436733,250.187232,1052.605674
4,GLMNET,prediction,05/01/2020,6.25002227,5.637511854,6.862532686,517.0243608,279.7632685,954.7847072
4,GLMNET,prediction,12/01/2020,6.152418664,5.539908248,6.76492908,468.8524288,253.6546333,865.904725
4,GLMNET,prediction,19/01/2020,6.112081309,5.499570893,6.724591725,450.2769853,243.5869557,831.6319645
4,GLMNET,prediction,26/01/2020,5.935668211,5.323157795,6.548178628,377.2926912,204.0303045,696.971749
4,GLMNET,prediction,02/02/2020,5.779790037,5.16727962,6.392300453,322.69122,174.4369327,596.2288975
4,GLMNET,prediction,09/02/2020,5.824767384,5.212256968,6.437277801,337.5823644,182.5077623,623.7039145
4,GLMNET,prediction,16/02/2020,5.977549627,5.36503921,6.590060043,393.4725778,212.7996177,726.8245693
4,GLMNET,prediction,23/02/2020,5.718332723,5.105822307,6.330843139,303.3969856,163.9796787,560.6299266
4,GLMNET,prediction,01/03/2020,5.769159759,5.156649343,6.381670175,319.2685167,172.5818667,589.9138134
4,GLMNET,prediction,08/03/2020,5.842364101,5.229853685,6.454874517,343.5930312,185.7654749,634.79394
4,GLMNET,prediction,15/03/2020,5.565719546,4.95320913,6.178229963,260.313163,140.6287405,481.1377987
4,GLMNET,prediction,22/03/2020,5.676240912,5.063730496,6.288751328,290.8502745,157.179505,537.4805237
4,GLMNET,prediction,29/03/2020,5.798481466,5.185971049,6.410991882,328.7983693,177.7469377,607.496939
4,GLMNET,prediction,05/04/2020,5.83966394,5.227153524,6.452174356,342.6638296,185.2618583,633.0795098
4,GLMNET,prediction,12/04/2020,6.021464334,5.408953917,6.63397475,411.1817256,222.3977729,759.4989643
4,GLMNET,prediction,19/04/2020,6.012680974,5.400170558,6.62519139,407.5772383,220.444182,752.8484781
4,GLMNET,prediction,26/04/2020,5.995602327,5.383091911,6.608112744,400.658541,216.6943274,740.0830843
4,GLMNET,prediction,03/05/2020,6.210653834,5.598143418,6.82316425,497.0267718,268.9248044,917.8880065
4,GLMNET,prediction,10/05/2020,6.222871861,5.610361445,6.835382277,503.1490009,272.2429824,929.183871
4,GLMNET,prediction,17/05/2020,6.345994824,5.733484408,6.958505241,569.2043608,308.0442307,1051.059805
